,date_time_customer,bigbuy_order_id,delta
1694,2019-06-25T09:24:31.000+02:00,11509804,3.0
1703,2019-07-02T13:31:01.000+02:00,11520316,3.0
1704,2019-04-25T20:40:46.000+02:00,11438874,3.0
1706,2019-07-29T16:24:04.000+02:00,11559181,6.0
1708,2019-06-27T15:17:58.000+02:00,11514054,3.0
1709,2019-04-29T19:21:28.000+02:00,11442564,3.0
1711,2019-06-26T08:09:59.000+02:00,11511339,3.0
1714,2019-06-23T19:18:25.000+02:00,11507639,3.0
1717,2019-06-26T19:29:06.000+02:00,11512643,3.0
1719,2019-07-08T22:11:52.000+02:00,11530818,3.0
1720,2019-06-26T10:42:15.000+02:00,11511579,3.0
1723,2019-06-28T21:24:44.000+02:00,11515703,3.0
1737,2019-06-25T18:50:33.000+02:00,11510842,3.0
1738,2019-07-01T22:06:38.000+02:00,11519110,3.0
1747,2019-06-26T19:55:13.000+02:00,11512647,3.0
1756,2019-06-26T15:46:30.000+02:00,11512206,3.0
1769,2019-06-27T17:58:47.000+02:00,11514209,3.0
1772,2019-06-27T10:35:47.000+02:00,11513385,3.0
1787,2019-07-02T11:31:19.000+02:00,11520156,3.0
1795,2019-06-30T21:31:55.000+02:00,11517254,3.0
1802,2019-04-29T23:02:26.000+02:00,11442765,3.0
1811,2019-06-24T17:49:45.000+02:00,11508964,3.0
1815,2019-06-24T20:22:59.000+02:00,11509125,3.0
1828,2019-06-28T12:17:04.000+02:00,11515065,3.0
1840,2019-04-18T07:29:10.000+02:00,11431894,3.0
1856,2019-07-05T06:18:18.000+02:00,11524420,3.0
1858,2019-04-18T17:37:14.000+02:00,11432423,3.0
1859,2019-06-26T07:03:18.000+02:00,11511333,3.0
1874,2019-06-24T18:58:05.000+02:00,11509034,3.0
1875,2019-07-05T13:14:33.000+02:00,11525631,3.0
1885,2019-04-30T16:31:35.000+02:00,11443614,3.0
1887,2019-07-02T15:23:48.000+02:00,11520423,3.0
1900,2019-06-26T11:49:18.000+02:00,11511756,3.0
1903,2019-07-01T15:50:04.000+02:00,11518519,3.0
1904,2019-06-24T11:52:13.000+02:00,11508340,3.0
1923,2019-06-26T12:22:38.000+02:00,11511784,3.0
1931,2019-07-01T09:59:22.000+02:00,11517771,3.0
1932,2019-07-01T16:49:49.000+02:00,11518688,4.0
1954,2019-06-28T11:24:04.000+02:00,11515032,3.0
1985,2019-04-29T15:58:42.000+02:00,11442283,4.0
2022,2019-06-30T23:48:38.000+02:00,11517476,4.0
2046,2019-06-24T20:17:16.000+02:00,11509121,3.0
